NPDES # CA#,ORDER #,WDID,FACILITY NAME,population_cwns,population_cwns_2042,population_sso,epaid,population_covid,source,Population Served,population_growth_rate
,97-010-DWQ,5B50NC00018,Del Rio East HOA WWTP,104,158,,,,CWNS,104,2.11
,R5-2017-0052,5D150102001,Delano WWTF,1043,1064,,,,CWNS,1043,0.1
,88-097,5D540136004,Delft Colony WWTF,104,158,,,,CWNS,104,2.11
,R5-2015-0053,5C240101001,Delhi WWTF,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5A480800001,Delta Conservation Camp,104,158,,,,CWNS,104,2.11
,97-010-DWQ,5A250806001,Devils Garden Conservation Camp,1043,1064,,,,CWNS,1043,0.1
,R5-2023-0046,5D540101001,Dinuba WWTF,104,158,,,,CWNS,104,2.11
,5-01-015,5A480107001,Dixon Migrant Center WWTF,1043,1064,,,,CWNS,1043,0.1
,R5-2014-0098,5A480101001,Dixon WWTF,,,,,,No data,,
,R5-2013-0062,5C221003001,Don Pedro Sewer Zone 1,,,260,,,SSO,260,
,92-094,5C240102001,Dos Palos WWTF,,,7000,,,SSO,7000,
,R5-2013-0009,5B051003001,Douglas Flat/Vallecito WWTP,,,,,,No data,,
,R5-2021-0045,5A571005001,Dunnigan WWTF,,,,,,No data,,
,97-010-DWQ,5B030120003,Eagles Nest Leachfield,104,158,,,,CWNS,104,2.11
,98-140,5D540102001,Earlimart WWTF,1043,1064,,,,CWNS,1043,0.1
,96-028,5D161005001,El Dorado MHP WWTF,,,,,,No data,,
,97-010-DWQ,5A45NC00030,El Rio Estates,,,,,,No data,,
,97-207,5D100106003,Elkhorn Correctional Facility WWTF,,,,,,No data,,
,5-00-142,5B390101001,Escalon Treatment Plant,,,,,,No data,,
,5-01-112,5A570108001,Esparto CSD WWTF,,,,,,No data,,
,02-063,5D540103001,Exeter WWTF,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5A450117001,Fall River Mills STP,1043,1064,,,,CWNS,1043,0.1
,R5-2022-0026,5D540117001,Farmersville WWTF,,,,,,No data,,
,2014-0153-DWQ,5A040116001,Feather River Hospital,104,158,,,,CWNS,104,2.11
,98-230,5C100103001,Firebaugh WWTF,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5C101109001,Foothill Elementary School WWTF,,,,,,No data,,
,97-010-DWQ,5B55NC00007,Foothill Horizons School,,,,,,No data,,
,2014-0153-DWQ,5A041016001,Foothills MHP,,,,,,No data,,
,5-00-066,5B050107004,Forest Meadows WWT & RP,,,,,,No data,,
,88-106-02,5A291012001,Forest Springs WWTF,,,,,,No data,,
,R5-2004-0133,5A31NC00011,Foresthill High School,,,,,,No data,,
,89-171,5C240109001,Franklin WWTF,,,,,,No data,,
,97-010-DWQ,5C101012001,Fresno Cnty #1-Tamarack Estates WWTF,,,,,,No data,,
,2014-0153-DWQ,5D100102001,Fresno Cnty #30-El Porvenir WWTF,,,,,,No data,,
,2014-0153-DWQ,5D100102002,Fresno Cnty #32-Cantua Creek WWTF,,,,,,No data,,
,R5-2008-0127,5C100106003,Fresno Cnty #34-Millerton New Town WWTF,,,,,,No data,,
,97-010-DWQ,5C100106001,Fresno Cnty #38-Sky Harbour WWTF,1519,1654,,,,CWNS,1519,0.43
,97-010-DWQ,5D101026001,Fresno Cnty #40-Shaver Springs WWTF,,,,,,No data,,
,95-264,5C100106002,Fresno Cnty #41-Shaver Lake WWTF,,,,,,No data,,
,2014-0153-DWQ,5D100139001,Fresno Cnty #44-D Monte Verdi Estates WWTF,,,,,,No data,,
,2014-0153-DWQ,5C101017001,Fresno Cnty #44A-Millerton Lake MHV WWTF,10638,11070,,,,CWNS,10638,0.2
,96-120,5D101122001,Fresno Cnty #47-Quail Lake WWTF,,,,,,No data,,
,R5-2007-0150,5B10NC00011,Fresno Cnty Juvenile Justice WWTF,,,,,,No data,,
,R5-2018-0080,5D100105001,Fresno Regional WWTF,,,543428,,,SSO,543428,
,R5-2013-0160,5B10NC00059,Friant Ranch WWTF,,,,,,No data,,
,,,Gateway Mobile Home Park,,,,,,No data,,
,97-010-DWQ,5B031025001,Gayla Manor WWTP,,,,,,No data,,
,93-033,5A520105001,Gerber STP,,,,,,No data,,
,2014-0153-DWQ,5A321021001,Gold Mountain WWTF,,,,,,No data,,
,2014-0153-DWQ,5A090102008,Gold Ridge Forest Unit 3,,,120,,,SSO,120,
,2014-0153-DWQ,5A321019001,"Gold Ridge HA, UNIT III",,,,,,No data,,
,88-033,5B051018001,Gold Strike Village,,,,,,No data,,
,2014-0153-DWQ,5A041019001,Golden Feather MHP WTP,,,,,,No data,,
,2014-0153-DWQ,5C221011001,Golden Hills Mobile Home Park,,,,,,No data,,
,81-122,5D151027001,Golden Hills WWTF,5430,5430,,,,CWNS,5430,0
,2014-0153-DWQ,5A520106001,Golden Meadows STP (sand filter),,,,,,No data,,
,2014-0153-DWQ,5A041051001,Golden Oaks MHP,,,,,,No data,,
,97-10-DWQ-R5159,5A32NC00006,Graeagle WWTP,,,,,,No data,,
,2014-0153-DWQ,5A450119001,Grant Elementary School,,,,,,No data,,
,98-011,5A291011001,Grass Valley Mobile Home Village,,,,,,No data,,
,93-088,5C500110001,Grayson Comm Serv Dist WTF,,,,,,No data,,
,97-247,5B090102002,Greenstone Estates Mobile Home Park,,,,,,No data,,
,99-046,5A320101001,Greenville WW Ponds,,,,,,No data,,
,R5-2006-0127,5A040103001,Gridley WWTF,,,,,,No data,,
,87-121,5C550100001,Groveland WWTF,104,158,,,,CWNS,104,2.11
,97-010-DWQ,5A090111001,Growlersburg Conservation Camp,1043,1064,,,,CWNS,1043,0.1
,R5-2019-0084,5C201026001,Gunner Ranch Water Reclamation Plant,104,158,,,,CWNS,104,2.11
,98-039,5C240103002,Gustine WWTF,1043,1064,,,,CWNS,1043,0.1
,R5-1998-081,5A110103001,Hamilton City CSD WWTP,181,221,,,,CWNS,181,1
,01-153,5D160103001,Hanford WWTF,,,,,,No data,,
,97-010-DWQ,5A450118001,Happy Valley Primary School,,,,,,No data,,
,95-176,5B390106002,Harney Lane Migrant Center,,,,,,No data,,
,2014-0153-DWQ,5D101042002,Harris Farms Farm Labor Housing Facility,,,,,,No data,,
,2014-0153-DWQ,5A31NC00051,Heather Glen Mobile Park,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5C10NC00059,Helms Housing & Support Facility,1043,1064,,,,CWNS,1043,0.1
,00-018,5D151032001,Hi-Ho Lodge & MHP,104,158,,,,CWNS,104,2.11
,5-00-019,5A171034001,Hidden Valley Lake WRF,1043,1064,,,,CWNS,1043,0.1
,R5-2003-0048,5A29NC00004,Higgins Village WWTF,,,,,,No data,,
,99-077,5C240104002,Hilmar CWD WWTF,104,158,,,,CWNS,104,2.11
,R5-2012-0003,5C500101002,Hughson WWTF,1043,1064,7800,,,CWNS+SSO,1043,0.1
,R5-2014-0163,5D100107001,Huron WWTF,,,,,,No data,,
,97-010-DWQ,5A251001001,I'SOT School Ponds,,,,,,No data,,
,2014-0153-DWQ,5B051003002,Indian Rock Vineyards Subdivision (IRVS) WWTF,104,158,,,,CWNS,104,2.11
,97-010-DWQ,5A180806001,Intermountain Conservation Camp,1043,1064,,,,CWNS,1043,0.1
,2004-0012-DWQ,5B03NC00042,Ione WWTF,,,,,,No data,,
,,5B340103001,Isleton WWTP,,,945,,,SSO,945,
,98-090,5D540104001,Ivanhoe WWTF,104,158,,,,CWNS,104,2.11
,R5-2021-0046,5C550101001,Jamestown Sanitary District Wastewater Treatment Facilities,1043,1064,,,,CWNS,1043,0.1
,92-075,5B050109002,Jenny Lind Elementary School,,,,,,No data,,
,R5-2007-0115,5D100108001,Kerman WWTF,,,,,,No data,,
,2014-0153-DWQ,5D150303029,Kern Cnty CSA 39.8-Reeder Tract,,,,,,No data,,
,R5-2018-0014,5D150106001,Kern Cnty Sheriff's Lerdo WWTF,104,158,,,,CWNS,104,2.11
,75-235,5D150103001,Kern Co CSA 40-Pine Mountain Club,1043,1064,,,,CWNS,1043,0.1
,91-155,5D150105001,Kern Sanitation Authority WWTF,104,158,,,,CWNS,104,2.11
,R5-00-037,5D151163001,Kern Valley Healthcare District WWTF,1043,1064,,,,CWNS,1043,0.1
,R5-2007-0090,5C15NC00056,Kern Valley State Prison WWTF,104,158,,,,CWNS,104,2.11
,79-143,5D160109001,Kettleman City WWTF,1043,1064,,,,CWNS,1043,0.1
,99-039,5D101028001,Kings Canyon MHP,,,,,,No data,,
,97-010-DWQ,5C54NC00297,Kings River UESD OWTS,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5A291025001,Kingsbury Greens CSD WWTP,1043,1064,,,,CWNS,1043,0.1
,R5-2007-0125,5B020101002,Kirkwood Meadows WWTF,104,158,,,,CWNS,104,2.11
,R5-2007-0149,5A570101001,Knights Landing CSD WWTP,1043,1064,,,,CWNS,1043,0.1
,R5-2002-0086,5A170801001,Konocti Conservation Camp,104,158,,,,CWNS,104,2.11
,87-077,5A291014001,LK Combie Mobile Home VLG WWTF,1043,1064,,,,CWNS,1043,0.1
,R5-2013-0133-01,5B051012001,La Contenta WWT & RF,,,,,,No data,,
,97-254,5A320104002,Lake Almanor West,,,,,,No data,,
,R5-2016-0033,5A520104001,Lake California WWTP,,,,,,No data,,
,R5-2009-0023,5A170101001,Lake Cnty SD Kelseyville WWD No. 3 Kelseyville WWTF,,,,,,No data,,
,2014-0153-DWQ,5D151091001,Lake Isabella WWTF,,,,,,No data,,
,97-010-DWQ,5A451040001,Lake Shasta MHP,,,,,,No data,,
,R5-2012-0025,5A170103001,Lakeport City WWTP,104,158,,,,CWNS,104,2.11
,R5-2022-0059,5D150108001,Lamont WWTF,1043,1064,,,,CWNS,1043,0.1
,R5-2016-0079,5D100123001,Laton WWTF,104,158,,,,CWNS,104,2.11
,97-053,5C240105001,Le Grand WWTF,1043,1064,,,,CWNS,1043,0.1
,97-010-DWQ,5C550111001,Leland Meadow WWTP,286,286,,,,CWNS,286,0
,94-348,5D540118001,Lemon Cove WWTF,,,,,,No data,,
,R5-2019-0008,5D165009001,Lemoore WWTF,,,,,,No data,,
,97-010-DWQ,5A58NC00005,Lewis Carroll School,,,,,,No data,,
,01-090,5C200702001,Liberty High School WWTF,,,,,,No data,,
,89-177,5B390111001,Linden Co Water Dist WWTF,,,,,,No data,,
,98-195,5D540105001,Lindsay WWTF,104,158,,,,CWNS,104,2.11
,82-007,5D541012001,Linnell Farm Labor Center,1043,1064,,,,CWNS,1043,0.1
,R5-2014-0147,5C240106002,Livingston Domestic WWTF,104,158,,,,CWNS,104,2.11
,R5-2007-0179,5B390102002,Lockeford CSD WWTP,1043,1064,,,,CWNS,1043,0.1
,R5-2021-0026,5C240107001,Los Banos WWTF,,,,,,No data,,
,87-113,5D150114001,Lost Hills WWTF,104,158,,,,CWNS,104,2.11
,R5-2003-0054,5B031026001,Mace Meadows Leachfield/Fairway Pines Leachfield,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5C200103001,Madera Cnty #14-Chukchansi WWTF,,,93,,,SSO,93,
,85-109,5C200102005,Madera Cnty #19-Parkwood WWTF,,,,,,No data,,
,00-232,5C200102001,Madera Cnty #2-Bass Lake WWTF,666,614,3399,,,CWNS+SSO,666,-0.41
,97-015,5C200102006,Madera Cnty #22A-Oakhurst WWTF,,,2686,,,SSO,2686,
,97-010-DWQ,5C200102007,Madera Cnty #24 Teaford Meadow Lakes WWTF,,,,,,No data,,
,97-133,5C200102003,Madera Cnty #27-Goldside Estates WWTF,,,414,,,SSO,414,
,97-010-DWQ,5C201005001,Madera Cnty #28 Ripperdan WWTF,3408,3408,,,,CWNS,3408,0
,2014-0153-DWQ-R5348,5C200102010,Madera Cnty #37-La Vina WWTF,,,,,,No data,,
,97-010-DWQ,5C200102002,Madera Cnty #6-Lake Shore Park WWTF,104,158,123,,,CWNS+SSO,104,2.11
,97-010-DWQ,5C200102009,Madera Cnty #7-Marina View Heights WWTF,1043,1064,240,,,CWNS+SSO,1043,0.1
,94-353,5C200102004,Madera Cnty #8A-North Fork WWTF,,,,,,No data,,
,R5-2022-0074,5C200101001,Madera WWTF,,,,,,No data,,
,5-00-039,5A570102001,Madison WWTF,15660,24840,,,,CWNS,15660,2.33
,R5-2020-0001,5D100124001,Malaga CWD WWTF,,,,,,No data,,
,00-153,5D150123001,Maricopa Wastewater Disposal Facility,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5C221007001,Mariposa Pines WWTF,1043,1064,,,,CWNS,1043,0.1
,5-01-071,5A580101001,Marysville WWTP,,,,,,No data,,
,R5-2017-0078,5A470102002,McCloud WWTF,19661,15695,,,,CWNS,19661,-1.12
,97-010-DWQ,5C221010001,McClure Lake Boat Club Trailer Park,,,,,,No data,,
,R5-2008-0072,5D150109001,McFarland WWTF,104,158,,,,CWNS,104,2.11
,97-010-DWQ,5A041050001,Meadowbrook Oaks MHP,1043,1064,,,,CWNS,1043,0.1
,R5-2016-0054,5D100109001,Mendota WWTF,104,158,,,,CWNS,104,2.11
,97-010-DWQ,5C550106003,Mi-Wuk Village WW System,1043,1064,,,,CWNS,1043,0.1
,97-249,5A170111001,Middletown STP (SD 2-2),104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5A521017001,Millstream MHP,1043,1064,,,,CWNS,1043,0.1
,97-010-DWQ,5B20NC00068,Minarets High School WWTP,,,,,,No data,,
,2014-0153-DWQ,5B10NC00014,Mira Bella WWTF,104,158,,,,CWNS,104,2.11
,97-010-DWQ,5D100802001,Miramonte Conservation Camp,1043,1064,,,,CWNS,1043,0.1
,94-360,5C500112003,Modesto Reservoir WWTP,,,,,,No data,,
,91-098,5B050101001,Mokelumne Hill WWTF,104,158,800,,,CWNS+SSO,104,2.11
,2014-0153-DWQ,5A040121001,Mops Inc,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5C220800001,Mount Bullion Conservation Camp,,,,,,No data,,
,97-010-DWQ,5C54NC00299,Mountain Home Conservation Camp,,,,,,No data,,
,89-170,5A041022001,Mountain View Acres MHP,,,,,,No data,,
,5-00-264,5B050102001,Murphys WWTF,46956,46956,,,,CWNS,46956,0
,5-01-111,5A170104001,NW Regional Waste Disp Fac,,,,,,No data,,
,R5-2013-0065,5A280103002,Napa Berryessa WTF,6750,6624,,,,CWNS,6750,-0.09
,2014-0153-DWQ,5D151049001,National Chavez Center WWTF,104,158,,,,CWNS,104,2.11
,97-256,5A292026001,Nevada City School of the Arts WWTF,1043,1064,,,,CWNS,1043,0.1
,90-184,5C101001001,New Auberry WWTF,,,,,,No data,,
,89-033,5C551029002,New Don Pedro WW Facilities,,,,,,No data,,
,90-051,5C201016001,North Fork Mill Housing Facility,,,,,,No data,,
,R5-2014-0162,5D101129001,North Fresno WWRF,17368,18589,,,,CWNS,17368,0.34
,87-190,5A290107001,North San Juan WW Facility,1277,2473,,,,CWNS,1277,3.36
,00-049,5D150111001,North Shafter Farm Labor Camp,5040,6660,,,,CWNS,5040,1.4
,R5-2009-0088,5C15NC00090,North of River WWTF,549,765,,,,CWNS,549,1.67
,97-197,5C201031001,Oak Creek MHP WWTF,,,,,,No data,,
,2014-0153-DWQ,5B091000001,Oak Lane Mobile Village,,,,,,No data,,
,R5-2012-0063,5C500104001,Oakdale WWTF,,,23274,,,SSO,23274,
,R5-2006-0114-002,5B391070001,Oakwood Lake WWTF,,,,,,No data,,
,R5-2004-0008,5D100110001,Orange Cove WWTF,,,,,,No data,,
,R5-2017-0080,5A450001004,Palo Cedro WWTF,,,,,,No data,,
,,,Paradise Pines School,,,,,,No data,,
,95-103,5D100118001,Parlier WWTF,,,,,,No data,,
,98-010,5A291022001,Penn Valley Mobile Home Park,,,,,,No data,,
,5-01-210,5A290104006,Penn Valley WWTP,104,158,,,,CWNS,104,2.11
,97-010-DWQ,5C550802001,Peoria Flat Baseline Conservation Camp,1043,1064,,,,CWNS,1043,0.1
,88-107,5C552002001,Peppermint Creek MHP,,,,,,No data,,
,2014-0153-DWQ,5A04NC00003,Pheasant Landing III HA WWTP,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5A041048001,Pheasant Landing Phase 2,1043,1064,,,,CWNS,1043,0.1
,R5-2009-0003,5B05NP00005,Pine Grove Community Leachfield System,,,,,,No data,,
,97-010-DWQ,5B031018001,Pine Grove Conservation Camp,104,158,,,,CWNS,104,2.11
,73-25,,Pine Grove Mobile Home Estates,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5A040115001,Pine Ridge School,,,,,,No data,,
,5-01-061,5C550106006,Pinecrest WWTP,104,158,,,,CWNS,104,2.11
,R5-2007-0123,5D540106001,Pixley WWTF,1043,1064,,,,CWNS,1043,0.1
,95-016,5A291006001,Pla-Vada Community Assoc STP,,,,,,No data,,
,2014-0153-DWQ,5A310104011,"Placer Cnty SA No 28, ZONE No.6, Sheridan WWTP",,,,,,No data,,
,R5-2013-0021,5B24NC00303,Planada WWTF,,,,,,No data,,
,2014-0153-DWQ,5A041039001,Plantation MHP,5001,5001,,,,CWNS,5001,0
,R5-2016-0092,5D100805001,Pleasant Valley State Prison WWTF,,,,,,No data,,
,2014-0153-DWQ,5A320104004,Plumas Eureka Estates WWTF,104,158,750,,,CWNS+SSO,104,2.11
,R5-2011-0092,5B030106001,Plymouth WWTP,1043,1064,,,,CWNS,1043,0.1
,98-214,5D540137001,Poplar WWTF,104,158,,,,CWNS,104,2.11
,R5-2008-0034,5D540107001,Porterville WWTF,1043,1064,,,,CWNS,1043,0.1
,94-013,5A060104001,Princeton WWTP,,,,,,No data,,
,95-130,5A581000001,Quail Ridge RV Park (formerly Seven Lakes Resort),,,,,,No data,,
,R5-2014-0149,5B340109001,Rancho Murieta CSD WWT & Rec,,,,,,No data,,
,2014-0153-DWQ,5A04NC00031,Rare Earth Estates Subdivision,,,,,,No data,,
,97-010-DWQ,5C551026001,Rawhide Mobile Home Park WWTF,104,158,,,,CWNS,104,2.11
,R5-2010-0120,5C10NC00167,Reedley WWTF,1043,1064,25917,,,CWNS+SSO,1043,0.1
,2014-0153-DWQ,5A041010001,Richardson Springs CSD,104,158,,,,CWNS,104,2.11
,83-088,5D541024001,Richgrove WWTF,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5A040105002,Richvale Wastewater Treatment Facility,,,,,,No data,,
,88-012,5A510102002,Rio Ramaza WW Disposal Ponds,,,,,,No data,,
,2014-0153-DWQ,5A521001001,Rio Vista Mobile Estates,895616,895616,,,,CWNS,895616,0
,94-263,5B390105001,Ripon Industrial & Domestic TP,,,15979,,,SSO,15979,
,2014-0153-DWQ,5D541049001,River Island East WWTF,,,,,,No data,,
,94-100,5C500106002,Riverbank WWTP,,,23298,,,SSO,23298,
,90-098,5D101021001,Riverbend Mobile Home Park,,,,,,No data,,
,2014-0153-DWQ,5A34NC00087,Riverdale Mobile Home Park,104,158,,,,CWNS,104,2.11
,R5-2018-0028,5D100114001,Riverdale WWTF,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5C54NC00291,Riverland RV Resort Wastewater Treatment Facility,104,158,,,,CWNS,104,2.11
,R5-2015-0018,5B10NC00072,Riverstone WWTF,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5C15NC00259,Rosedale Village Mobile Home Park OWTS,104,158,,,,CWNS,104,2.11
,97-010-DWQ,5C54NC00314,SCICON WWTF,1043,1064,,,,CWNS,1043,0.1
,5-01-255,5D100104001,SKF CSD WWTF,,,,,,No data,,
,92-036,5C500107001,Salida WWTP,104,158,,,,CWNS,104,2.11
,R5-2007-0100,5D100116001,San Joaquin WWTF,1043,1064,,,,CWNS,1043,0.1
,93-031,5C240116001,San Luis Hills WWTF,104,158,,,,CWNS,104,2.11
,90-014,5C240109003,Sandy Mush WWTF,1043,1064,,,,CWNS,1043,0.1
,R5-2014-0004,5D100115001,Sanger WWTF,,,,,,No data,,
,88-104,5C240113001,Santa Nella WWTF,104,158,,,,CWNS,104,2.11
,98-166,5D540135001,Sequoia Field WWTF,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5B391023001,Shadow Lake Mobile Home Park LLC/WWTP,104,158,,,,CWNS,104,2.11
,75-079,5D101035001,Shady Lakes MHP,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5A450110001,Shasta College Sewage Disposal Pond,,,,,,No data,,
,94-223,5D101004001,Sherwood MHP WWTF,104,158,,,,CWNS,104,2.11
,5-01-017,5C550801001,Sierra Conservation CTR-WWTP-1 (NON15),1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5C101003001,Sierra High School WWTF,,,,,,No data,,
,5-01-056,5B051013001,Sierra Ridge WWTP,,,,,,No data,,
,97-010-DWQ,5D541014001,Sierra Shadows WWTF,,,,,,No data,,
,R5-2002-0140,5A311050001,Skyview Terrace MHP,,,,,,No data,,
,85-155,5C240111001,Snelling WWTF,6906,7110,,,,CWNS,6906,0.15
,R5-2002-0069,5C551012001,Sonora Estates Manufactured Housing Community,,,,,,No data,,
,94-192,5C550106004,Sonora Regional WWTF,,,16490,,,SSO,16490,
,96-166,5A170102002,Southeast Regional WW System,,,,,,No data,,
,93-236,5A280108001,Spanish Flat WWT & Disposal Facility,,,,,,No data,,
,2014-0153-DWQ,5A040112001,Spring Valley School,,,,,,No data,,
,96-195,5D540130001,Springville WWTF,,,,,,No data,,
,2014-0153-DWQ,5B39NC00309,Stockton Verde Mobile Home Park WWTF,,,,,,No data,,
,2014-0153-DWQ,5D160105001,Stratford WWTF,,,,,,No data,,
,R5-2016-0061,5D540108001,Strathmore  WWTF,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5A450801002,Sugar Pine Conservation Camp,1043,1064,,,,CWNS,1043,0.1
,97-010-DWQ,5B20UR00001,Sugar Pine OWTS,104,158,,,,CWNS,104,2.11
,94-152,5B030104001,Sutter Creek WWTP,1043,1064,,,,CWNS,1043,0.1
,R5-2009-0054,5C15NC00101,Taft Federal Prison WWTF,104,158,,,,CWNS,104,2.11
,5-00-080 (N15),5C15NC00095,Taft WWTF,1043,1064,,,,CWNS,1043,0.1
,95-223,5B05NP00013,Tanwood Manufactuing Housing Community,,,,,,No data,,
,2014-0153-DWQ,5A320104007,Taylorsville STP,,,,,,No data,,
,97-010-DWQ,5C10NC00156,Teen Challenge of Southern California,,,,,,No data,,
,R5-2011-0007,5D150803001,Tehachapi Correctional Inst WWTF,,,,,,No data,,
,92-047,5D150116001,Tehachapi WWTF,,,,,,No data,,
,R5-2019-0085,5C15NC00247,Tejon Mountain Village,6007,6007,,,,CWNS,6007,0
,95-029,5D540109001,Terra Bella WWTF,,,,,,No data,,
,R5-2016-0057,5B20NC00105,Tesoro Viejo Wastewater Treatment Plant,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5B031002001,The Oaks Commun Assoc-WWTF,1043,1064,,,,CWNS,1043,0.1
,2014-0153-DWQ,5B20NC00059,The Preserve at Millerton Lake,,,,,,No data,,
,2014-0153-DWQ,5A04NC00001,The Villas at Butte Creek WWTP,,,,,,No data,,
,94-101,5B390112001,Thornton Farm Labor Camp,,,,,,No data,,
,85-170,5D540116001,Tipton WWTF,3780,3727,,,,CWNS,3780,-0.07
,88-139,5D540136001,Tooleville WWTF,,,,,,No data,,
,97-074,5B050109001,Toyon Middle School,,,,,,No data,,
,88-098,5D540136003,Traver WWTF,,,,,,No data,,
,R5-2019-0058,5C550104001,Tuolumne City WWTP,104,158,,,,CWNS,104,2.11
,2014-0153-DWQ,5A04NC00068,Tuscan Ridge Base Camp WWTF,1043,1064,,,,CWNS,1043,0.1
,86-021,5B55NC00004,Twain Harte WWTP,,,,,,No data,,
,94-314,5B051007001,Vallecito Conservation Camp,,,,,,No data,,
,97-010-DWQ,5A110801001,Valley View Conservation Camp,,,,,,No data,,
,,,Vineyard RV Resort,,,,,,No data,,
,R5-2018-0046,5D540113001,Visalia Water Reclamation Facility (WRF),,,3006,,,SSO,3006,
,2014-0153-DWQ,5B050107007,Wallace Lake Estates WWTF,1064,761,250,,,CWNS+SSO,1064,-1.66
,90-217,5D150803003,Wasco State Prison WWTF,,,,,,No data,,
,R5-2002-0198,5D150117001,Wasco WWTF,,,,,,No data,,
,99-092,5A290801001,Washington Ridge Cons. Camp,104,158,,,,CWNS,104,2.11
,94-273,5C500113001,Waterford WWTP,1043,1064,,,,CWNS,1043,0.1
,89-234,5B391021001,West Lane Mobile Home Park,,,,,,No data,,
,2014-0153-DWQ,5B05NC00025,West Point WWTF,632,632,,,,CWNS,632,0
,93-087,5C500111001,Westley Comm Sewage Trt Fac,,,,,,No data,,
,R5-2019-0061,5A180102001,Westwood STP,,,,,,No data,,
,2014-0153-DWQ,5A321018001,Whitehawk Ranch WWTP,,,,,,No data,,
,R5-2002-0077,5A57NC00004,Wild Wings Water Recycling Facility,,,,,,No data,,
,R5-2002-0168,5B03NC00004,Wildwood Est Leachfield,,,,,,No data,,
,R5-2002-0064,5C201006001,Wildwood MHP,,,,,,No data,,
,2014-0153-DWQ,5B052000001,Wilseyville Wastewater Treatment Plant,104,158,,,,CWNS,104,2.11
,5-00-026,5A171018001,Windflower Point STP,1043,1064,,,,CWNS,1043,0.1
,R5-2002-0136,5A570104001,Winters WWTF,,,,,,No data,,
,93-213,5B390109001,Woodbridge SD-Sewage Treatment,4590,5101,,,,CWNS,4590,0.53
,R5-2009-0103,5D540114001,Woodlake WWTF,,,,,,No data,,
,82-006,5D540112003,Woodville Farm Labor Center,,,,,,No data,,
,86-108,5D540115001,Woodville WWTF,,,,,,No data,,
,96-285,5D101036001,Woodward Bluffs MHP WWTF,,,,,,No data,,
,98-027,5C201015001,Yosemite South Coarsegold Ranch,,,,,,No data,,
,00-201,5C551039001,Yosemite Vista Estates,,,,,,No data,,
,99-004,5C221002001,Yosemite West MD WWTF,,,350,,,SSO,350,
,R6V-2013-0058,6B369805001,Adelanto WWTP,,,34238,,,SSO,34238,
,97-095,6B360100001,Baker WTF,,,,,,No data,,
,R6V-2019-0252,6B360101001,Barstow Wastewater Treatment Plant,,,25442,,,SSO,25442,
,84-058,6B362050001,Bear Valley MHP WTF,,,,,,No data,,
,02-039,6B149107005,Big Pine Indian RES WTF,,,,,,No data,,
,95-035,6B140100001,Big Pine STP,,,,,,No data,,
,94-025,6B140101001,Bishop Sewage Treatment Plant,42700,64200,,,,CWNS,42700,2.06
,02-037,6B150126001,Boron STP,,,2253,,,SSO,2253,
,01-012,6A265300900,Bridgeport PUD Treatment Plant,,,,,,No data,,
,R6T-2008-0024,6A186000500,"CCC @ Susanville, CSP-LC WTF",104,158,6500,,,CWNS+SSO,104,2.11
,00-094,6B150118001,California City WTF,1043,1064,14523,,,CWNS+SSO,1043,0.1
,94-057,6B360106001,Crestline SD Three WTF's,,,287639,,,SSO,287639,
,01-055,6B150103001,Desert Lake CSD WTF,,,,,,No data,,
,94-024,6B140108001,Eastern Sierra CSD WWTF,,,6485,,,SSO,6485,
,97-010-DWQ,6B140304001,Eastern Sierra College Center,,,,,,No data,,
,R6V-2018-0015,6B361111001,Helendale Silverlakes STP,,,7500,,,SSO,7500,
,04-018,6B140109001,Hilton Creek CSD Package STP,,,,,,No data,,
,95-064,6B140103001,Independence WWTF,,,,,,No data,,
,93-077,6B150104001,Inyokern CSD WTF,,,,,,No data,,
,93-019,6B260101002,June Lake PUD STP,,,,,,No data,,
,R6V-2009-0037,6B360107001,Lake Arrowhead CSD WTFS,,,14000,,,SSO,14000,
,R6V-2022-0023,6B190107017,Lancaster Water Reclamation Plant,60548,60548,263520,,,CWNS+SSO,60548,0
,96-018,6A180004501,Leavitt Lake Sewage Treatment Ponds,,,950,,,SSO,950,
,84-090,6B260102001,Lee Vining WTF,,,,,,No data,,
